Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	182	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	209	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	210	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	211	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	214	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnRecordButtonClick(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	214	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	215	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnPlayButtonClick(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	215	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	216	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnSettingsButtonClick(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	216	
Warning (active)	CS8604	Possible null reference argument for parameter 'ev' in 'bool GestureDetector.OnTouchEvent(MotionEvent ev)'.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	232	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	281	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	304	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	311	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	312	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	323	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	327	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	340	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	367	
Warning (active)	CS0618	'MauiApplication.Services' is obsolete: 'Use the IPlatformApplication.Current.Services instead.'	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	379	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	380	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	384	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	410	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	430	
Warning (active)	CS8604	Possible null reference argument for parameter 'looper' in 'Handler.Handler(Looper looper)'.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	458	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	460	
Warning (active)	CS8604	Possible null reference argument for parameter 'looper' in 'Handler.Handler(Looper looper)'.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	470	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	472	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnRecordButtonClick(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	515	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnPlayButtonClick(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	518	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnSettingsButtonClick(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	521	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnPlaybackStarted(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	541	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnPlaybackStopped(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	542	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	550	
Warning (active)	CA1416	Using platform dependent API on a component makes the code no longer work across all platforms.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\PermissionHelper.cs	24	
Warning (active)	CA1416	Using platform dependent API on a component makes the code no longer work across all platforms.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\PermissionHelper.cs	38	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\PermissionHelper.cs	39	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\PermissionHelper.cs	52	
Warning (active)	CS8600	Converting null literal or possible null value to non-nullable type.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\PermissionHelper.cs	72	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\PermissionHelper.cs	89	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'Context.StartForegroundService(Intent?)' is only supported on: 'android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\ViewModels\MacroListViewModel.cs	212	
Warning (active)	CS8767	Nullability of reference types in type of parameter 'value' of 'object InvertedBoolConverter.Convert(object value, Type targetType, object parameter, CultureInfo culture)' doesn't match implicitly implemented member 'object? IValueConverter.Convert(object? value, Type targetType, object? parameter, CultureInfo culture)' (possibly because of nullability attributes).	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Converters\InvertedBoolConverter.cs	11	
Warning (active)	CS8767	Nullability of reference types in type of parameter 'parameter' of 'object InvertedBoolConverter.Convert(object value, Type targetType, object parameter, CultureInfo culture)' doesn't match implicitly implemented member 'object? IValueConverter.Convert(object? value, Type targetType, object? parameter, CultureInfo culture)' (possibly because of nullability attributes).	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Converters\InvertedBoolConverter.cs	11	
Warning (active)	CS8767	Nullability of reference types in type of parameter 'value' of 'object InvertedBoolConverter.ConvertBack(object value, Type targetType, object parameter, CultureInfo culture)' doesn't match implicitly implemented member 'object? IValueConverter.ConvertBack(object? value, Type targetType, object? parameter, CultureInfo culture)' (possibly because of nullability attributes).	TouchMacro (net8.0-android), TouchMacro (net8.0-ios), TouchMacro (net8.0-maccatalyst), TouchMacro (net8.0-windows10.0.19041.0)	D:\Development\TouchMacro\Converters\InvertedBoolConverter.cs	21	
